FOSS project name,description,stars,forks,issues,watchers
expressjs/express,"Fast, unopinionated, minimalist web framework for node.",66786,18241,99,1691
sdmg15/Best-websites-a-programmer-should-visit,:link: Some useful websites for programmers.,66604,8110,70,1391
python/cpython,The Python programming language,66352,31629,7203,1526
tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),66246,9833,417,1692
strapi/strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",66237,8488,940,658
ventoy/Ventoy,A new bootable USB solution.,66124,4230,855,671
apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,65785,14864,623,1528
chartjs/Chart.js,Simple HTML5 Charts using the <canvas> tag,65735,11941,452,1355
webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",65210,9076,132,1452
leonardomso/33-js-concepts,📜 33 JavaScript concepts every developer should know.,65039,9091,21,1205
ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,64819,10792,960,1043
swisskyrepo/PayloadsAllTheThings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,64766,15250,0,1861
ansible/ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",64760,24016,549,1897
kdn251/interviews,Everything you need to know to get the job.,64083,12915,30,2598
xtekky/gpt4free,"The official gpt4free repository | various collection of powerful language models | o3 and deepseek r1, gpt-4.5",64067,13607,29,483
immich-app/immich,High performance self-hosted photo and video management solution.,63887,3347,414,228
lydiahallie/javascript-questions,"A long list of (advanced) JavaScript questions, and their explanations :sparkles:  ",63787,9072,14,1278
sherlock-project/sherlock,Hunt down social media accounts by username across social networks,63718,7373,93,1147
caddyserver/caddy,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,63598,4262,153,843
obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,63589,8337,609,1462
apache/echarts,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",63268,19712,2007,1973
openai/openai-cookbook,Examples and guides for using the OpenAI API,63260,10270,33,925
fffaraz/awesome-cpp,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",63109,7957,344,2053
Eugeny/tabby,A terminal for a more modern age,63104,3565,2199,448
twitter/the-algorithm,Source code for Twitter's Recommendation Algorithm,63104,12163,269,341
keras-team/keras,Deep Learning for humans,62888,19575,261,1901
awesomedata/awesome-public-datasets,A topic-centric list of HQ open datasets.,62865,10102,70,2272
kelseyhightower/nocode,The best way to write secure and reliable applications. Write nothing; deploy nowhere.,62572,4745,4063,367
resume/resume.github.com,Resumes generated using the GitHub informations,62372,1357,56,346
FuelLabs/sway,🌴 Empowering everyone to build reliable and efficient smart contracts.,62349,5388,829,307
danielmiessler/SecLists,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",62215,24285,3,1922
AppFlowy-IO/AppFlowy,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",62178,4189,943,363
PKUFlyingPig/cs-self-learning,计算机自学指南,62163,7224,98,332
socketio/socket.io,Realtime application framework (Node.JS server),61919,10141,176,1510
scikit-learn/scikit-learn,scikit-learn: machine learning in Python,61782,25765,1585,2141
chrislgarry/Apollo-11,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,61646,7188,57,1344
binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",61497,6216,0,1871
TheAlgorithms/Java,All Algorithms implemented in Java,61356,19864,4,2191
reduxjs/redux,A JS library for predictable global state management,61146,15251,37,1271
sindresorhus/awesome-nodejs,:zap: Delightful Node.js packages and resources,60605,6015,3,1688
Alvin9999/new-pac,翻墙-科学上网、自由上网、免费科学上网、免费翻墙、fanqiang、油管youtube/视频下载、软件、VPN、一键翻墙浏览器，vps一键搭建翻墙服务器脚本/教程，免费shadowsocks/ss/ssr/v2ray/goflyway账号/节点，翻墙梯子，电脑、手机、iOS、安卓、windows、Mac、Linux、路由器翻墙、科学上网、youtube视频下载、youtube油管镜像/免翻墙网站、美区apple id共享账号、翻墙-科学上网-梯子,60547,9892,425,1557
bradtraversy/design-resources-for-developers,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",60421,11691,0,993
atom/atom,:atom: The hackable text editor,60398,17354,962,2632
lodash/lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",60349,7065,73,821
h5bp/Front-end-Developer-Interview-Questions,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",60243,11100,34,2200
localsend/localsend,An open-source cross-platform alternative to AirDrop,60187,3213,646,255
xingshaocheng/architect-awesome,后端架构师技术图谱,60144,17802,49,3223
labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",60086,6074,30,473
prakhar1989/awesome-courses,:books: List of awesome university courses for learning Computer Science!,60035,8199,40,2294
nektos/act,Run your GitHub Actions locally 🚀,59925,1522,198,170
adam-p/markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",59876,11227,306,1010
jquery/jquery,jQuery JavaScript Library,59495,20617,78,3160
facebook/docusaurus,Easy to maintain open source documentation websites.,59432,8984,290,416
OpenInterpreter/open-interpreter,A natural language interface for computers,59138,5035,214,434
lobehub/lobe-chat,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / DeepSeek / Qwen), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Plugins/Artifacts) and Thinking. One-click FREE deployment of your private ChatGPT/ Claude / DeepSeek application.",58998,12508,693,263
jesseduffield/lazygit,simple terminal UI for git commands,58953,2017,757,290
shadowsocks/shadowsocks-windows,A C# port of shadowsocks,58760,16366,183,2435
angular/angular.js,AngularJS - HTML enhanced for web apps!,58745,27413,391,3763
localstack/localstack,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,58637,4144,256,518
alacritty/alacritty,"A cross-platform, OpenGL terminal emulator.",58371,3099,319,444
prometheus/prometheus,The Prometheus monitoring system and time series database.,58205,9522,525,1116
meta-llama/llama,Inference code for Llama models,58125,9744,428,535
juliangarnier/anime,JavaScript animation engine,58055,3965,97,764
spring-projects/spring-framework,Spring Framework,57864,38442,259,3313
rust-lang/rustlings,:crab: Small exercises to get you used to reading and writing Rust code!,57735,10550,46,349
FuelLabs/fuel-core,Rust full node implementation of the Fuel v2 protocol.,57715,2843,145,234
ryanoasis/nerd-fonts,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",57355,3733,13,399
zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",57169,3922,2488,243
h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",56893,12284,8,2492
nuxt/nuxt,The Intuitive Vue Framework.,56838,5223,821,788
rails/rails,Ruby on Rails,56759,21818,510,2322
browser-use/browser-use,Make websites accessible for AI agents,56684,6079,380,332
NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,56353,6300,1434,1056
Stirling-Tools/Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,56105,4674,206,178
scutan90/DeepLearning-500-questions,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,55823,15961,110,2245
gatsbyjs/gatsby,"The best React-based framework with performance, scalability and security built in.",55813,10291,210,725
zylon-ai/private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",55657,7457,245,469
youngyangyang04/leetcode-master,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀 ,55572,11950,192,384
Solido/awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",55525,6739,0,1572
soimort/you-get,:arrow_double_down: Dumb downloader that scrapes the web,55479,9752,0,1370
langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,55344,6067,426,372
clash-verge-rev/clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",55260,4289,165,173
azl397985856/leetcode,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),55253,9480,9,1328
dair-ai/Prompt-Engineering-Guide,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",55153,5421,141,608
scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",54930,10751,439,1773
tldr-pages/tldr,📚 Collaborative cheatsheets for console commands,54804,4429,170,383
PlexPt/awesome-chatgpt-prompts-zh,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,54750,13569,38,346
geekan/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",54731,6502,51,831
ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,54603,13589,767,1569
remix-run/react-router,Declarative routing for React,54593,10543,210,809
git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,54456,26121,0,2420
unionlabs/union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",54438,2719,255,1206
ElemeFE/element,A Vue.js 2.0 UI Toolkit for Web,54232,14632,2584,1306
traefik/traefik,The Cloud Native Application Proxy,54223,5298,614,673
ruanyf/weekly,科技爱好者周刊，每周五发布,54181,3183,5321,2326
CorentinJ/Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,54010,8942,200,942
jgraph/drawio-desktop,Official electron build of draw.io,53952,5237,67,540
AntonOsika/gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,53915,7072,23,529
nocodb/nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,53818,3775,625,379
lencx/ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",53698,6069,790,453
deepfakes/faceswap,Deepfakes Software For All,53694,13368,31,1533
ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,53464,16832,220,372
FiloSottile/mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,53156,2785,102,485
commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",53131,9633,133,1311
All-Hands-AI/OpenHands,"🙌 OpenHands: Code Less, Make More",53059,5913,209,381
necolas/normalize.css,A modern alternative to CSS resets,53045,10594,52,1477
gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,52819,3448,12,961
psf/requests,"A simple, yet elegant, HTTP library.",52757,9431,192,1326
topjohnwu/Magisk,The Magic Mask for Android,52290,13665,33,1554
sharkdp/bat,A cat(1) clone with wings.,52237,1292,308,209
wasabeef/awesome-android-ui,A curated list of awesome Android UI/UX libraries,52221,10222,16,2761
Z4nzu/hackingtool,ALL IN ONE Hacking Tool For Hackers,52193,5623,48,1256
golang-standards/project-layout,Standard Go Project Layout,51940,5301,67,595
minio/minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",51865,5775,35,625
BurntSushi/ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,51755,2103,123,293
Textualize/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,51747,1823,203,538
pmndrs/zustand,🐻 Bear necessities for state management in React,51728,1650,3,169
ionic-team/ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",51626,13472,539,1587
pi-hole/pi-hole,A black hole for Internet advertisements,51514,2805,44,704
google/material-design-icons,Material Design icons by Google (Material Symbols),51404,9641,350,1808
Semantic-Org/Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,51162,4926,967,1287
google/guava,Google core libraries for Java,50678,10979,631,2362
withastro/astro,The web framework for content-driven websites. ⭐️ Star to support our work!,50552,2694,158,206
meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,50498,1993,194,290
mozilla/pdf.js,PDF Reader in JavaScript,50466,10256,371,1121
hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,50408,7470,20,320
tiimgreen/github-cheat-sheet,A list of cool features of Git and GitHub.,50400,5303,23,1377
JetBrains/kotlin,The Kotlin Programming Language. ,50368,5897,0,1514
wagoodman/dive,A tool for exploring each layer in a docker image,50363,1867,151,358
astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",50295,1402,1494,98
prettier/prettier,Prettier is an opinionated code formatter.,50288,4486,1192,415
xai-org/grok-1,Grok open release,50248,8350,82,619
sickcodes/Docker-OSX,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.,50188,2802,377,448
rclone/rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files",49900,4453,954,574
jekyll/jekyll,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,49885,10084,109,1419
rust-unofficial/awesome-rust,A curated list of Rust code and resources.,49870,2884,10,828
toeverything/AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",49835,3280,433,239
facebookresearch/segment-anything,"The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",49768,5871,519,312
jgthms/bulma,Modern CSS framework based on Flexbox,49717,3948,319,582
vuejs/core,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",49714,8599,666,754
DefinitelyTyped/DefinitelyTyped,The repository for high quality TypeScript type definitions.,49603,30376,560,641
ngosang/trackerslist,Updated list of public BitTorrent trackers,49513,6646,5,1300
infiniflow/ragflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,49463,4675,1849,229
mlabonne/llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,49346,5278,48,483
marktext/marktext,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",49343,3617,1233,422
microsoft/markitdown,Python tool for converting files and office documents to Markdown.,49260,2377,168,168
FFmpeg/FFmpeg,Mirror of https://git.ffmpeg.org/ffmpeg.git,49195,12563,0,1469
etcd-io/etcd,Distributed reliable key-value store for the most critical data of a distributed system,49144,10047,296,1304
TryGhost/Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",49035,10718,49,1031
chinese-poetry/chinese-poetry,"The most comprehensive database of Chinese poetry 🧶最全中华古诗词数据库,  唐宋两朝近一万四千古诗人,  接近5.5万首唐诗加26万宋诗.  两宋时期1564位词人，21050首词。",48997,9807,114,1152
romkatv/powerlevel10k,A Zsh theme,48862,2279,86,186
laurent22/joplin,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",48803,5292,496,485
ethereum/go-ethereum,Go implementation of the Ethereum protocol,48801,20793,193,2213
vsouza/awesome-ios,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects ",48726,6891,2,1809
cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",48530,3279,1370,603
AlistGo/alist,"🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。",48498,6555,465,215
PaddlePaddle/PaddleOCR,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)",48444,8153,47,453
NARKOZ/hacker-scripts,Based on a true story,48379,6659,35,2083
appwrite/appwrite,Build like a team of hundreds_,48196,4266,600,380
go-gitea/gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",48173,5754,2524,493
starship/starship,"☄🌌️  The minimal, blazing-fast, and infinitely customizable prompt for any shell!",48169,2084,681,193
poteto/hiring-without-whiteboards,⭐️  Companies that don't have a broken hiring process,48153,3750,0,885
mastodon/mastodon,"Your self-hosted, globally interconnected microblogging community",48125,7156,3952,712
ReactiveX/RxJava,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,48079,7608,12,2202
moment/moment,"Parse, validate, manipulate, and display dates in javascript.",48075,7062,238,859
firstcontributions/first-contributions,🚀✨ Help beginners to contribute to open source projects,47976,85152,38,509
WerWolv/ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",47925,2072,226,491
iamkun/dayjs,⏰ Day.js 2kB immutable date-time library alternative to Moment.js with the same modern API,47682,2351,890,277
charlax/professional-programming,A collection of learning resources for curious software engineers,47530,3779,0,972
algorithm-visualizer/algorithm-visualizer,:fireworks:Interactive Online Platform that Visualizes Algorithms from Code,47338,7363,40,1211
justjavac/awesome-wechat-weapp,微信小程序开发资源汇总 :100:,47331,8761,0,1920
agalwood/Motrix,A full-featured download manager.,47246,4624,738,481
hiyouga/LLaMA-Factory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),47138,5753,410,256
minimaxir/big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,47087,2155,69,851
PowerShell/PowerShell,PowerShell for every system!,47045,7598,1033,1430
Avik-Jain/100-Days-Of-ML-Code,100 Days of ML Coding,47015,10881,0,2449
JuliaLang/julia,The Julia Programming Language,46860,5583,4035,931
serverless/serverless,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.",46651,5739,1120,930
square/okhttp,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",46301,9206,150,1616
kamranahmedse/design-patterns-for-humans,An ultra-simplified explanation to design patterns,46280,5393,5,1197
gogs/gogs,Gogs is a painless self-hosted Git service,46230,5024,917,1052
typescript-cheatsheets/react,Cheatsheets for experienced React developers getting started with TypeScript,46152,4187,5,393
karan/Projects,:page_with_curl: A list of practical projects that anyone can solve in any programming language.,46148,10662,43,1839
ziishaned/learn-regex,Learn regex the easy way,45987,6269,51,896
v2ray/v2ray-core,A platform for building proxies to bypass network restrictions.,45935,8934,4,1347
huginn/huginn,Create agents that monitor and act on your behalf.  Your agents are standing by!,45926,3953,591,745
Asabeneh/30-Days-Of-Python,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",45864,8748,51,843
x64dbg/x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,45852,2527,589,2718
pocketbase/pocketbase,Open Source realtime backend in 1 file,45403,2222,17,247
nlohmann/json,JSON for Modern C++,45265,6940,40,754
vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,45236,6933,1702,380
pandas-dev/pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",45171,18437,3625,1112
slab/quill,Quill is a modern WYSIWYG editor built for compatibility and extensibility,45148,3488,475,491
type-challenges/type-challenges,Collection of TypeScript type challenges with online judge,45089,4915,31727,160
hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",45014,9805,1819,1147
pixijs/pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",44948,4848,403,988
android/architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,44944,11729,136,2406
TanStack/query,"🤖 Powerful asynchronous state management, server-state utilities and data fetching for the web. TS/JS, React Query, Solid Query, Svelte Query and Vue Query.",44789,3132,67,208
jestjs/jest,Delightful JavaScript Testing.,44708,6533,265,560
dkhamsing/open-source-ios-apps,:iphone: Collaborative List of Open-Source iOS Apps,44688,5528,0,1439
meteor/meteor,"Meteor, the JavaScript App Platform",44638,5209,285,1526
rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",44603,6226,2,440
ColorlibHQ/AdminLTE,AdminLTE - Free admin dashboard template based on Bootstrap 5,44502,18190,132,1981
lllyasviel/Fooocus,Focus on prompting and generating,44371,6837,206,347
RVC-Boss/GPT-SoVITS,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),44309,4941,754,232
jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,44305,18275,121,1809
bigskysoftware/htmx,</> htmx - high power tools for HTML,44304,1431,562,214
Asabeneh/30-Days-Of-JavaScript,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days,  please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",44230,10224,111,851
brillout/awesome-react-components,Curated List of React Components & Libraries.,44171,3588,7,764
google/zx,A tool for writing better scripts,43976,1130,10,158
vercel/hyper,A terminal built on web technologies,43876,3532,937,485
FuelLabs/fuels-ts,Fuel Network Typescript SDK,43825,1376,96,117
FuelLabs/fuels-rs,Fuel Network Rust SDK,43817,1350,87,128
discourse/discourse,"A platform for community discussion. Free, open, simple.",43772,8501,0,894
parcel-bundler/parcel,The zero configuration build tool for the web. 📦🚀,43771,2268,496,448
skylot/jadx,Dex to Java decompiler,43632,5037,414,820
mannaandpoem/OpenManus,"No fortress, purely open ground.  OpenManus is Coming.",43628,7482,456,370
dypsilon/frontend-dev-bookmarks,Manually curated collection of resources for frontend web developers.,43612,5107,25,1990
dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",43604,2058,13,251
aymericdamien/TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),43602,14898,166,2033
serhii-londar/open-source-mac-os-apps,🚀 Awesome list of open source applications for macOS. https://t.me/s/opensourcemacosapps,43570,2361,48,986
kelseyhightower/kubernetes-the-hard-way,Bootstrap Kubernetes the hard way. No scripts.,43554,14689,2,928
isocpp/CppCoreGuidelines,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",43547,5475,243,1959
jesseduffield/lazydocker,The lazier way to manage everything docker,43541,1372,164,267
astaxie/build-web-application-with-golang,A golang ebook intro how to build a web with golang,43516,10622,120,2334
babel/babel,🐠 Babel is a compiler for writing next generation JavaScript.,43508,5704,601,806
akullpp/awesome-java,"A curated list of awesome frameworks, libraries and software for the Java programming language.",43458,7473,0,2192
lyswhut/lx-music-desktop,一个基于 electron 的音乐软件,43449,6206,860,371
square/retrofit,A type-safe HTTP client for Android and the JVM,43440,7315,126,1551
maybe-finance/maybe,The OS for your personal finances,43432,3131,43,191
microsoft/autogen,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,43359,6522,488,457
Homebrew/brew,🍺 The missing package manager for macOS (or Linux),43278,10159,71,729
oobabooga/text-generation-webui,A Gradio web UI for Large Language Models with support for multiple inference backends.,43231,5574,2505,340
dbeaver/dbeaver,Free universal database tool and SQL client,43155,3665,2906,526
Mintplex-Labs/anything-llm,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more.",42998,4171,242,308
streamich/react-use,React Hooks — 👍,42903,3226,346,261
react-hook-form/react-hook-form,📋 React Hooks for form state management and validation (Web + React Native),42900,2160,65,174
grpc/grpc,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",42894,10750,679,1351
yangshun/front-end-interview-handbook,🌐 Front End interview preparation materials for busy engineers,42742,5891,13,773
Leaflet/Leaflet,🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦,42541,5918,398,892
RocketChat/Rocket.Chat,The communications platform that puts data protection first.,42492,11661,2580,879
odoo/odoo,Odoo. Open Source Apps To Grow Your Business.,42356,27366,3119,1526
DovAmir/awesome-design-patterns,A curated list of software and architecture related design patterns.,42330,3043,10,719
jeecgboot/JeecgBoot,🔥一款基于AIGC和低代码引擎的AI低代码平台，旨在帮助企业快速实现低代码开发和构建、部署个性化的 AI 应用。 前后端分离 SpringBoot，SpringCloud，Ant Design&Vue3，Mybatis，Shiro！强大的代码生成器让前后端代码一键生成，无需写任何代码! 成套AI大模型功能: AI模型管理、AI应用、知识库、AI流程编排、AI对话助手等；,42324,15264,39,841
acmesh-official/acme.sh,A pure Unix shell script implementing ACME client protocol,42225,5216,1031,490
LeCoupa/awesome-cheatsheets,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.",42225,6420,34,742
microsoft/monaco-editor,A browser based code editor,42157,3715,643,525
Unitech/pm2,Node.js Production Process Manager with a built-in Load Balancer.,42129,2635,975,642
k88hudson/git-flight-rules,Flight rules for git,42039,3197,18,651
GitSquared/edex-ui,"A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.",42017,2707,6,1502
prisma/prisma,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",41929,1719,2198,236
Alamofire/Alamofire,Elegant HTTP Networking in Swift,41849,7608,43,1060
sudheerj/reactjs-interview-questions,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,41772,9824,8,628
pyenv/pyenv,Simple Python version management,41713,3158,64,392
alex/what-happens-when,"An attempt to answer the age old interview question ""What happens when you type google.com into your browser and press enter?""",41654,5696,238,677
metabase/metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,41635,5508,3715,644
DigitalPlatDev/FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone,41554,935,0,53
yarnpkg/yarn,The 1.x line is frozen - features and bugfixes now happen on https://github.com/yarnpkg/berry,41526,2731,1869,552
faif/python-patterns,A collection of design patterns/idioms in Python,41262,6975,10,1641
bailicangdu/vue2-elm,Large single page application with 45 pages built on vue2 + vuex. 基于 vue2 + vuex 构建一个具有 45 个页面的大型单页面应用,41086,12409,117,1483
